Title	Venue	Year	Authors
Direction and Scope of Comprehension-Related Activities by Procedural and Object-Oriented Programmers: An Empirical Study.	IWPC	2000	["Cynthia L. Corritore", "Susan Wiedenbeck"]
An Exploratory Case Study of the Maintenance Effectiveness of Traceability Models.	IWPC	2000	["Alessandro Bianchi", "Giuseppe Visaggio", "Anna Rita Fasolino"]
An Empirical Study of Amorphous Slicing as a Program Comprehension Support Tool.	IWPC	2000	["David Binkley", "L. Ross Raszewski", "Christopher Smith", "Mark Harman"]
Metric-Based Analysis of Context-Free Grammars.	IWPC	2000	["James F. Power", "Brian A. Malloy"]
Source Animation as a Means of Program Comprehension.	IWPC	2000	["Harry M. Sneed"]
The Effect of Call Graph Construction Algorithms for Object-Oriented Programs on Automatic Clustering.	IWPC	2000	["Derek Rayside", "Steve Reuss", "Erik Hedges", "Kostas Kontogiannis"]
A Framework for Experimental Evaluation of Clustering Techniques.	IWPC	2000	["Rainer Koschke", "Thomas Eisenbarth"]
On the Stability of Software Clustering Algorithms.	IWPC	2000	["Vassilios Tzerpos", "Richard C. Holt"]
Types and Concept Analysis for Legacy Systems.	IWPC	2000	["Tobias Kuipers", "Leon Moonen"]
A Comparison of Graphs of Concept for Reverse Engineering.	IWPC	2000	["Nicolas Anquetil"]
Case Study of Feature Location Using Dependence Graph.	IWPC	2000	["Kunrong Chen", "Vaclav Rajlich"]
Identification of Lower-Level Artifacts.	IWPC	2000	["Giuliano Antoniol", "Gerardo Casazza", "Ettore Merlo"]
Empirical Studies of Programming-in-the-Large: How?	IWPC	2000	["Marian Petre"]
Tools for Program Comprehension: Building a Comprehender's Workbench.	IWPC	2000	["Keith Brian Gallagher"]
Understanding Program Understanding.	IWPC	2000	["Francoise Balmas", "Harald Wertz", "Janice Singer"]
8th International Workshop on Program Comprehension (IWPC 2000), 10-11 June 2000, Limerick, Ireland.		2000	[]
Comprehension with[in] Virtual Environment Visualisations.	IWPC	1999	["Claire Knight", "Malcolm Munro"]
Improving the Visibility of Graphical Program Displays: An Experimental Study.	IWPC	1999	["Panagiotis K. Linos", "Esther T. Ososanya", "Vijay Karunakaran"]
Program Visualisation using C++ Lenses.	IWPC	1999	["James Westland Cain", "Rachel Jane McCrindle"]
Reconstructing Ownership Architectures To Help Understand Software Systems.	IWPC	1999	["Ivan T. Bowman", "Richard C. Holt"]
An Architecture for Automated Software Maintenance.	IWPC	1999	["M. P. A. Sellink", "Chris Verhoef"]
Extending Software Quality Assessment Techniques to Java Systems.	IWPC	1999	["Jean-Fran\u00e7ois Patenaude", "Ettore Merlo", "Michel Dagenais", "Bruno Lagu\u00eb"]
Improving Software Comprehension through an Automated Dependency Tracer.	IWPC	1999	["Anna Rita Fasolino", "Giuseppe Visaggio"]
An Application of Fuzzy Reasoning to Support Automated Program Comprehension.	IWPC	1999	["Ilene Burnstein", "Floyd Saner"]
Understanding COBOL Systems using Inferred Types.	IWPC	1999	["Arie van Deursen", "Leon Moonen"]
Restructuring Parallel Programs by Transformation of Point-To-Point Interactions into Collective Communication.	IWPC	1999	["Beniamino Di Martino", "Antonino Mazzeo", "Nicola Mazzocca", "Umberto Villano"]
Black-Box Understanding of COTS Components.	IWPC	1999	["Bogdan Korel"]
