Title	Venue	Year	Authors
Language-Independent and Automated Software Composition: The FeatureHouse Experience.	IEEE Trans. Software Eng.	2013	["Sven Apel", "Christian K\u00e4stner", "Christian Lengauer"]
On Fault Representativeness of Software Fault Injection.	IEEE Trans. Software Eng.	2013	["Roberto Natella", "Domenico Cotroneo", "Jo\u00e3o Dur\u00e3es", "Henrique Madeira"]
Performance Specification and Evaluation with Unified Stochastic Probes and Fluid Analysis.	IEEE Trans. Software Eng.	2013	["Richard A. Hayden", "Jeremy T. Bradley", "Allan Clark"]
Systematic Elaboration of Scalability Requirements through Goal-Obstacle Analysis.	IEEE Trans. Software Eng.	2013	["Leticia Duboc", "Emmanuel Letier", "David S. Rosenblum"]
Editorial: State of the Journal.	IEEE Trans. Software Eng.	2013	["Bashar Nuseibeh"]
Automated Behavioral Testing of Refactoring Engines.	IEEE Trans. Software Eng.	2013	["Gustavo Soares", "Rohit Gheyi", "Tiago Massoni"]
Centroidal Voronoi Tessellations - A New Approach to Random Testing.	IEEE Trans. Software Eng.	2013	["Ali Shahbazi", "Andrew F. Tappenden", "James Miller"]
Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support.	IEEE Trans. Software Eng.	2013	["Marco Piccioni", "Manuel Oriol", "Bertrand Meyer"]
How Programmers Debug, Revisited: An Information Foraging Theory Perspective.	IEEE Trans. Software Eng.	2013	["Joseph Lawrance", "Christopher Bogart", "Margaret M. Burnett", "Rachel K. E. Bellamy", "Kyle Rector", "Scott D. Fleming"]
Integer Linear Programming-Based Property Checking for Asynchronous Reactive Systems.	IEEE Trans. Software Eng.	2013	["Stefan Leue", "Wei Wei"]
Toward Comprehensible Software Fault Prediction Models Using Bayesian Network Classifiers.	IEEE Trans. Software Eng.	2013	["Karel Dejaeger", "Thomas Verbraken", "Bart Baesens"]
Using Dependency Structures for Prioritization of Functional Test Suites.	IEEE Trans. Software Eng.	2013	["Shifa-e-Zehra Haidry", "Tim Miller"]
Whole Test Suite Generation.	IEEE Trans. Software Eng.	2013	["Gordon Fraser", "Andrea Arcuri"]
A Quantitative Approach to Input Generation in Real-Time Testing of Stochastic Systems.	IEEE Trans. Software Eng.	2013	["Laura Carnevali", "Lorenzo Ridi", "Enrico Vicario"]
Alloy Meets the Algebra of Programming: A Case Study.	IEEE Trans. Software Eng.	2013	["Jos\u00e9 Nuno Oliveira", "Miguel Alexandre Ferreira"]
Assessing the Effectiveness of Sequence Diagrams in the Comprehension of Functional Requirements: Results from a Family of Five Experiments.	IEEE Trans. Software Eng.	2013	["Silvia Abrah\u00e3o", "Carmine Gravino", "Emilio Insfr\u00e1n", "Giuseppe Scanniello", "Genoveffa Tortora"]
Coordination Breakdowns and Their Impact on Development Productivity and Software Failures.	IEEE Trans. Software Eng.	2013	["Marcelo Cataldo", "James D. Herbsleb"]
Elaborating Requirements Using Model Checking and Inductive Learning.	IEEE Trans. Software Eng.	2013	["Dalal Alrajeh", "Jeff Kramer", "Alessandra Russo", "Sebasti\u00e1n Uchitel"]
Resource Management for Complex, Dynamic Environments.	IEEE Trans. Software Eng.	2013	["Mohammad S. Raunak", "Leon J. Osterweil"]
Self-Management of Adaptable Component-Based Applications.	IEEE Trans. Software Eng.	2013	["Liliana Rosa", "Lu\u00eds E. T. Rodrigues", "Ant\u00f3nia Lopes", "Matti A. Hiltunen", "Richard D. Schlichting"]
Self-Organizing Roles on Agile Software Development Teams.	IEEE Trans. Software Eng.	2013	["Rashina Hoda", "James Noble", "Stuart Marshall"]
A Machine Learning Approach to Software Requirements Prioritization.	IEEE Trans. Software Eng.	2013	["Anna Perini", "Angelo Susi", "Paolo Avesani"]
A Second Replicated Quantitative Analysis of Fault Distributions in Complex Software Systems.	IEEE Trans. Software Eng.	2013	["Tihana Galinac Grbac", "Per Runeson", "Darko Huljenic"]
